"feature","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"0610005C13Rik",5.68512637256043,0.0234127400323003,0.107201083225664,0.208226193940457,NA,FALSE,NA
"0610007P14Rik",1196.5899813786,-0.000854565533926606,0.0544639775295097,0.985917722073528,0.992884268189563,FALSE,"ns"
"0610009B22Rik",862.305770872652,0.0395718154863816,0.0672582460252318,0.446034544249535,0.640079341600076,FALSE,"ns"
"0610009L18Rik",31.9292017469414,0.056049700510413,0.118145780023359,0.141072846746896,0.316520733495089,FALSE,"ns"
"0610009O20Rik",1220.2125180826,-0.0855638465577157,0.0517450741144014,0.0579572460271825,0.182545138099548,FALSE,"ns"
"0610010F05Rik",816.308182883859,0.0433625372320193,0.101905193624287,0.356558755270621,0.559435012457626,FALSE,"ns"
"0610010K14Rik",949.191919240674,-0.0552078517091512,0.0650453767557932,0.297411267177375,0.504542267374763,FALSE,"ns"
"0610011F06Rik",375.471161874767,-0.117449909328005,0.0739657664139658,0.0414570830762608,0.149186066138315,FALSE,"ns"
"0610012G03Rik",361.389384415598,0.0197035119422426,0.0780093435735285,0.688191518757666,0.822232765215076,FALSE,"ns"
"0610030E20Rik",936.847489939845,0.00374867003903177,0.0734459602239877,0.94010149928624,0.971364133856673,FALSE,"ns"
"0610037L13Rik",1037.79208242577,-0.0945645985072403,0.0708969944052673,0.0805723992428976,0.224075981572553,FALSE,"ns"
"0610038B21Rik",8.47206979622826,0.0107894798512832,0.103400635225611,0.622006352992425,NA,FALSE,NA
"0610040B10Rik",21.6131722821714,-0.000345446518893234,0.100000804115164,0.990146945012945,0.994698647181254,FALSE,"ns"
"1110001J03Rik",124.420653657252,-0.158834769867983,0.1430316159976,0.0383643027363337,0.143058804263596,FALSE,"ns"
"1110002L01Rik",69.3039983466402,-0.0124071970737907,0.095605898294548,0.762153088033536,0.870538072395313,FALSE,"ns"
"1110004E09Rik",640.589042172863,0.0411785975339474,0.0803928111713301,0.452291415531881,0.644965428021209,FALSE,"ns"
"1110004F10Rik",2762.72736368863,-0.131845224864104,0.0718262046707274,0.0211468322463112,0.100317389440533,FALSE,"ns"
"1110006O24Rik",9.39314967928215,0.0044045959600974,0.10214504031726,0.857577763360487,NA,FALSE,NA
"1110007C09Rik",1270.11491948623,0.113210056143675,0.124601045743705,0.0864323870081728,0.233911549731922,FALSE,"ns"
"1110008F13Rik",1207.7538457294,0.0131234339543138,0.0859293919634656,0.790861564910914,0.887519414508037,FALSE,"ns"
"1110008L16Rik",612.223697652925,0.0386213780356921,0.0481498140872405,0.383348369727521,0.585641386660969,FALSE,"ns"
"1110008P14Rik",727.157714206716,0.0590297623078631,0.0723345882833277,0.281650384879005,0.487396046790749,FALSE,"ns"
"1110012L19Rik",881.197204792498,0.0268662551903936,0.0908293344191962,0.574917072859241,0.742252132663487,FALSE,"ns"
"1110019D14Rik",99.0421027336477,0.0194780000815916,0.0947292752939726,0.646044809607402,0.794051325794174,FALSE,"ns"
"1110020A21Rik",12.9253984732056,0.0209922733267626,0.103473459512994,0.465063548679388,0.656577609416224,FALSE,"ns"
"1110032A03Rik",280.058502270464,-0.0174438906538333,0.0772491518154416,0.73998238469505,0.856191824251441,FALSE,"ns"
"1110034G24Rik",146.805697387256,0.127998049667819,0.134813559932039,0.0643546059180697,0.195227316187224,FALSE,"ns"
"1110037F02Rik",3070.27191301836,0.0121365748771898,0.0729082268958388,0.764636262041151,0.871515183230491,FALSE,"ns"
