"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu03040","Spliceosome",135,-0.649246646845114,-2.48611137154182,1e-10,2.51538461538462e-09,1.78137651821862e-09,2302,"tags=50%, list=18%, signal=41%","68011/74351/107701/192160/20227/28000/209416/64340/233073/231889/60321/66094/20637/75062/230596/20638/17149/110809/68092/66055/20624/76938/386612/67332/66492/107686/53317/192170/68479/23983/66373/66642/225027/433702/27967/60365/20462/20222/20383/69878/54633/68988/19655/76793/20641/20643/108121/15381/66585/22668/108014/67959/53607/15387/67678/67465/73666/21681/233908/20382/50783/20630/68816/53817/78651/68981/27756"
"mmu03030","DNA replication",35,-0.804074599489697,-2.47066283551955,1e-10,2.51538461538462e-09,1.78137651821862e-09,2109,"tags=80%, list=16%, signal=67%","68240/69724/67967/19075/18974/106344/18973/67153/18538/17217/18969/18971/16881/17218/17215/72151/69263/14156/19076/68209/17220/19718/19891/59001/17219/17216/18972/68275"
"mmu04142","Lysosome biogenesis",214,0.562828109942345,2.44022159779168,1e-10,2.51538461538462e-09,1.78137651821862e-09,3034,"tags=52%, list=23%, signal=41%","214585/16784/211286/12751/30930/11774/14420/52187/94178/17342/11886/104082/235504/14628/16889/66848/16004/231855/15586/19025/11305/75612/15212/13033/71279/110173/11883/26373/27419/320528/16783/64291/215335/11964/18145/13030/66335/252972/14387/11966/432486/11777/11605/15211/214505/211978/100561/12514/27029/56464/18010/13039/114143/19156/353047/54170/15932/67166/54411/18711/18457/229445/11776/53599/218035/235380/381201/11432/12091/11593/26889/66144/12752/17939/27426/56722/242341/68724/56325/67963/117197/19349/228545/65114/142980/67474/83429/17113/19141/13423/18174/268706/14667/52120/18173/13038/17159/66237/106039/246049/72175/232946/11974/240283/76252/74008/75620/108012/269338/58911/271564/67300"
"mmu04110","Cell cycle",145,-0.603888407417274,-2.34308217842895,1e-10,2.51538461538462e-09,1.78137651821862e-09,2256,"tags=50%, list=17%, signal=42%","54401/52206/104394/66156/17127/67052/23882/77011/71988/27214/22630/17222/22137/66591/22627/12448/56317/18392/21808/67177/12428/23834/18817/320209/69010/268930/18538/51792/268697/20877/17217/69716/17873/66440/107995/105988/12544/12442/17218/17215/12236/12532/12447/21809/12530/56150/12443/67849/69957/12534/27401/56371/12445/12531/30939/59008/433759/17220/12580/22059/17120/75430/21770/56452/21803/17219/17216/12566/21781/52563/12577/12237/12581"
"mmu05020","Prion disease",204,-0.580592759329596,-2.33955192010498,1e-10,2.51538461538462e-09,1.78137651821862e-09,2434,"tags=50%, list=19%, signal=41%","19094/69077/170483/17967/68194/66997/12292/12867/68197/22145/18128/17463/19179/26444/66377/16593/56436/13063/22335/26443/22334/66142/22142/26442/407785/13665/70316/18709/68202/66925/66413/69875/19181/19173/12864/17995/26441/22146/19353/215999/12391/23996/19167/66046/226646/105675/67003/26445/13001/19177/23997/68349/20867/68375/225887/19172/333182/17993/19184/67264/66218/17992/67951/22143/67530/19166/19175/22151/19182/26446/22123/12858/12866/66108/12389/227197/26440/104130/67184/12861/68342/66945/66414/11740/67680/66052/12859/11739/66916/110323/230075/66445/66594/18747/22273/72900/227613/66091/68198/26427/22154"
"mmu05016","Huntington disease",234,-0.566946494834764,-2.31529097244422,1e-10,2.51538461538462e-09,1.78137651821862e-09,2327,"tags=46%, list=18%, signal=38%","68194/66997/13385/12867/12370/15114/68197/69920/22145/17463/19179/26444/69590/22030/232910/66377/54130/16593/56436/13063/22335/26443/21817/56444/22334/66142/22142/26442/407785/70316/68202/66925/66413/17749/215114/69875/19181/19173/12864/17995/26441/22146/14775/23996/19167/66046/226646/105675/67003/26445/19177/23997/68349/68375/13191/225887/19172/333182/17993/19184/231329/67264/66218/20512/17992/67951/22143/67530/19166/19175/22151/19182/26446/22123/12858/12866/69241/66108/11771/227197/11773/26440/104130/67184/12861/68342/66945/433759/66414/11740/67680/66052/12859/22059/11739/66916/110323/230075/66445/66594/22273/72900/227613/66091/68198/26427/22154"
"mmu05012","Parkinson disease",208,-0.568209265032128,-2.29092914714779,1e-10,2.51538461538462e-09,1.78137651821862e-09,2034,"tags=46%, list=16%, signal=40%","22145/17463/19179/26444/11540/66377/16593/56436/12323/13063/22335/26443/12314/170731/22334/66142/22142/26442/407785/13665/70316/18803/68202/66925/66413/69875/19181/19173/12864/17995/26441/22146/215999/23996/19167/64704/66046/226646/105675/67003/26445/19177/23997/68349/68375/225887/19172/333182/17993/68015/19184/67264/66218/22195/17992/67951/22143/67530/19166/19175/22151/19182/26446/22123/12858/12866/22201/66108/12315/227197/26440/104130/67184/12861/14678/68342/66945/66414/11740/67680/66052/12859/22059/11739/66916/110323/230075/66445/66594/18747/22273/72900/227613/66091/68198/22154"
"mmu00190","Oxidative phosphorylation",92,-0.631243540691465,-2.28902321461017,1e-10,2.51538461538462e-09,1.78137651821862e-09,1863,"tags=50%, list=14%, signal=43%","66377/13063/66142/407785/70316/68202/66925/69875/12864/17995/66046/226646/67003/68349/68375/225887/333182/17993/67264/66218/17992/67530/68775/12858/12866/66108/227197/104130/67184/12861/68342/66945/67895/66414/67680/66052/12859/66916/110323/230075/66445/66594/22273/72900/66091/68198"
"mmu05415","Diabetic cardiomyopathy",154,-0.58146750754806,-2.26756845876818,1e-10,2.51538461538462e-09,1.78137651821862e-09,2223,"tags=46%, list=17%, signal=39%","12867/14584/68263/17127/68197/12896/66377/18752/12323/22335/70456/22334/66142/12843/407785/70316/18709/68202/66925/20528/21808/69875/12864/17995/19353/11651/66046/226646/105675/67003/236900/68349/68375/225887/21813/333182/17993/67264/66218/17992/67530/11652/12858/12866/21809/66108/227197/104130/67184/12861/68342/66945/66414/11740/67680/66052/11545/12859/11739/66916/110323/230075/21803/66445/66594/22273/72900/17395/66091/68198/19045"
"mmu03010","Ribosome",166,-0.572274663055712,-2.25414305126938,1e-10,2.51538461538462e-09,1.78137651821862e-09,3381,"tags=37%, list=26%, signal=28%","94064/66223/57312/18100/22186/68565/66292/59054/67308/26961/66230/65111/68499/75398/69956/94062/66163/216767/232536/218506/68436/67941/107733/79044/67036/66258/68537/68028/64657/66407/19942/67212/56280/353242/107732/56284/64659/66128/27395/66121/99045/225215/67270/68735/52443/18120/64656/77721/50529/56282/68611/67994/27397/94063/66242/66493/102060/66077/67681/64658/78523"
"mmu04714","Thermogenesis",179,-0.559635746146295,-2.23128278793962,1e-10,2.51538461538462e-09,1.78137651821862e-09,2804,"tags=46%, list=21%, signal=37%","66495/83797/14683/66576/67273/66694/19082/66359/19094/226139/432530/68194/12867/56716/57376/68197/12896/83796/15461/66377/23945/16890/108099/69702/66142/407785/70316/68202/66925/108097/11513/69875/12864/17995/73694/66993/66046/226646/67003/11465/68349/68375/225887/333182/17993/78070/67264/66218/17992/99982/11514/67530/12858/12866/66108/26397/227197/104130/67184/12861/20586/68342/66945/19079/66414/67680/66052/69487/12859/56456/66916/110323/230075/66445/68033/66594/18747/22273/72900/66091/68198/11461/26427"
"mmu05014","Amyotrophic lateral sclerosis",289,-0.504695786564698,-2.10513826482285,1e-10,2.51538461538462e-09,1.78137651821862e-09,2223,"tags=41%, list=17%, signal=35%","12867/170762/15114/56488/68197/22145/17463/19179/26444/69590/22030/380684/641376/66377/54130/269523/16593/56436/13063/26443/56444/71805/66142/22142/26442/407785/103468/13665/70316/68202/66925/66413/69875/19181/19173/12864/17995/26441/22146/19353/215999/14775/23996/19167/53333/18226/66046/226646/67003/11465/26445/19177/23997/68349/68375/13191/225887/19172/333182/17993/19184/67264/110379/66218/17992/67951/230908/22143/225027/67530/19166/19175/22151/433702/19182/70699/26446/22123/12858/12866/69736/20383/66108/26397/227197/26440/104130/67184/12861/68342/66945/18141/66414/67680/66052/74412/12859/22059/66916/69912/110323/230075/66445/18645/66594/22273/234865/445007/72900/21681/233908/18643/227613/69482/66091/68198/11461/22154"
"mmu05022","Pathways of neurodegeneration - multiple diseases",371,-0.444807439627929,-1.887124697203,1e-10,2.51538461538462e-09,1.78137651821862e-09,2327,"tags=37%, list=18%, signal=31%","68194/66997/93687/12292/13385/12867/12370/15114/67847/15108/22065/68197/14368/22145/17463/15461/19179/26444/69590/22030/380684/641376/27412/66377/54130/269523/16593/216795/56436/18752/12323/13063/22335/26443/12314/56444/170731/22334/66142/22142/26442/407785/13665/70316/18803/68202/66925/66413/22411/22417/215114/69875/19181/19173/12864/17995/26441/22146/12334/19353/215999/14775/23996/57265/19167/53333/64704/66046/226646/105675/67003/13542/26445/12569/13001/19177/23997/68349/68375/13191/225887/19172/333182/17993/68015/19184/67264/66218/22195/17992/67951/230908/22143/67530/19166/19175/22151/19182/26446/22123/12858/12866/22201/66108/12315/26397/12369/12018/227197/26440/104130/67184/12861/68342/66945/66414/11740/67680/66052/12333/12859/22409/11739/66916/12977/110323/230075/66445/66594/22273/72900/233908/227613/22420/66091/68198/22154"
"mmu04932","Non-alcoholic fatty liver disease",136,-0.522444955809281,-2.00140023584899,7.08109327960202e-08,1.65394107316419e-06,1.17130866279131e-06,1931,"tags=40%, list=15%, signal=35%","22030/66377/13063/108099/66142/407785/13665/70316/18709/68202/66925/108097/69875/12864/17995/19353/11651/66046/226646/67003/68349/68375/225887/333182/17993/67264/66218/17992/67530/11652/12858/12866/66108/12369/227197/104130/67184/12861/68342/66945/19079/66414/67680/66052/12859/66916/110323/230075/21803/66445/66594/22273/72900/66091/68198"
"mmu05010","Alzheimer disease",306,-0.428842188405863,-1.79519123938673,1.48033194292012e-07,3.22712363556586e-06,2.28542475398194e-06,2327,"tags=37%, list=18%, signal=31%","68194/66997/93687/12292/12867/12370/15108/68197/14368/22145/17463/15461/19179/26444/22030/27412/66377/16593/216795/56436/13063/22335/26443/12314/22334/66142/22142/26442/407785/13665/70316/18709/68202/66925/66413/22411/22417/69875/19181/19173/12864/17995/26441/22146/12334/11651/215999/23996/57265/19167/66046/226646/105675/67003/13542/26445/12569/13001/19177/23997/68349/68375/225887/19172/333182/17993/19184/67264/66218/17992/67951/22143/67530/11652/19166/19175/22151/19182/26446/23821/22123/12858/12866/66108/12315/12369/227197/26440/104130/67184/12861/68342/66945/66414/11740/67680/66052/12333/12859/22409/11739/66916/12977/110323/230075/66445/66594/22273/72900/227613/22420/66091/68198/22154"
"mmu04820","Cytoskeleton in muscle cells",205,-0.46561955096173,-1.87241138590827,1.74276622038774e-07,3.56177846291745e-06,2.52242479266647e-06,2858,"tags=40%, list=22%, signal=31%","21393/242702/17901/17907/13138/24053/53867/17885/140781/17883/233199/17929/433766/16772/16480/59006/12842/58916/78321/68802/11932/12831/319480/53311/11459/76441/21924/17906/21955/56642/22330/21952/21916/21953/21956/11928/17896/12843/11464/21925/241226/11472/22379/17884/22004/13009/11465/30794/13808/67399/70549/11931/16906/16402/104099/16907/12834/22003/16400/12715/17886/13726/14200/13008/12833/93689/12111/109674/12845/59069/98932/213019/12835/326618/16905/21827/11468/67451/11461/13007/14201"
"mmu04814","Motor proteins",150,-0.499060648406821,-1.93917457161764,2.37475399237136e-07,4.56790915003196e-06,3.23495899889597e-06,2870,"tags=46%, list=22%, signal=36%","16551/17901/17907/17885/140781/71924/17883/360013/100310872/73710/228421/209737/16571/17921/286942/381293/11459/21924/22145/17906/21955/71819/21952/54130/16593/21953/21956/67268/71602/17896/56444/56427/22142/11464/21925/17884/22146/22004/103768/11465/13191/216459/16580/73804/70218/109242/67951/19348/22143/22151/22003/17913/110033/17886/56455/11475/16562/100502766/68097/16582/59069/98932/326618/11468/227613/17904/103733/11461/22154"
"mmu03050","Proteasome",43,-0.688095666331406,-2.2192707324705,4.78057162981196e-07,8.68470512749173e-06,6.15044303250661e-06,3332,"tags=81%, list=25%, signal=61%","70247/67151/19192/19170/16912/59029/69077/66997/17463/19179/26444/66537/56436/26443/26442/66413/19181/19173/26441/23996/19167/26445/19177/23997/19172/19184/19166/19175/19182/26446/22123/16913/26440/19188/19171"
"mmu03410","Base excision repair",41,-0.678496434626108,-2.1790976558451,6.43255824401347e-07,1.10707712936442e-05,7.84023719491947e-06,2561,"tags=59%, list=20%, signal=47%","56626/104884/11792/67967/18975/268395/18974/17193/22256/106344/18973/234258/18538/22594/18971/16881/15289/72151/69263/14156/11545/19718/59001/18972"
"mmu03013","Nucleocytoplasmic transport",98,-0.54582973188276,-2.00840342005508,7.84269841700869e-07,1.28228119118092e-05,9.08101921969428e-06,2367,"tags=41%, list=18%, signal=34%","54563/67031/72787/107939/19069/19704/170762/192160/56488/13680/51796/71805/17149/68092/103468/386612/18226/170930/192170/110379/16211/433702/70699/60365/69736/20220/223921/18141/16647/74412/226432/69912/234865/445007/73666/21681/69482/53817/19384/19387"
"mmu03430","Mismatch repair",22,-0.784167591192045,-2.19313408358858,1.2033101267045e-06,1.87372576872558e-05,1.32695853571424e-05,2109,"tags=73%, list=16%, signal=61%","68240/67967/26909/106344/18538/18971/16881/17688/18861/72151/69263/17350/19718/19891/18972/68275"
"mmu05208","Chemical carcinogenesis - reactive oxygen species",177,-0.45824321491196,-1.82497144604278,3.78869186242868e-06,5.63137381370082e-05,3.98809669729335e-05,1756,"tags=32%, list=13%, signal=28%","22335/19246/13850/22334/66142/407785/70316/18709/68202/66925/69875/12864/17995/19353/11651/14866/66046/226646/105675/67003/53859/68349/68375/225887/333182/17993/11431/67264/66218/17992/67530/11652/12858/12866/66108/227197/104130/67184/12861/68342/66945/66414/11740/67680/66052/12859/11739/66916/110323/230075/66445/66594/22273/72900/66091/68198"
"mmu00600","Sphingolipid metabolism",42,0.650949517380871,2.17516559657155,4.42777143383793e-06,6.21641713753479e-05,4.40241999117223e-05,2555,"tags=52%, list=20%, signal=42%","22234/14420/74442/11886/56336/70750/15212/11883/81535/11605/15211/20397/18010/19156/76893/20698/12091/20773/241447/67630/14667/66190"
