"feature","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"Adgrd1",24.2596024725205,1.00152483686402,0.457222959757549,0.000889408519720099,0.0184232614700947,TRUE,"Up"
"Adm2",99.5639990906275,1.35493125975739,0.812450910386516,0.00188547259889663,0.0271375595134277,TRUE,"Up"
"AI607873",33.4594258393166,1.26706765502931,0.589865700139541,0.000875295956660168,0.0184131845711244,TRUE,"Up"
"Aldh1l2",2387.68262274617,1.21592971383983,0.438858265858878,0.000184386650431182,0.00875931797840189,TRUE,"Up"
"Cdkn1c",502.918341297788,-1.04072123577134,0.362534290432366,0.000141833216897018,0.00815665412260394,TRUE,"Down"
"Cep290",70.2858363365309,1.12802288997739,0.336437449444139,3.12963823640665e-05,0.0049099756645898,TRUE,"Up"
"Dcn",3031.3160652257,1.24909352571141,0.398802443870682,6.19855237977759e-05,0.00638403670669598,TRUE,"Up"
"Dmp1",137.461519140948,-1.13901676810834,0.495374535792082,0.000604967912109743,0.0152219921476336,TRUE,"Down"
"Enpp2",1619.40929219275,1.23152863412576,0.299653018907963,1.64968005971275e-06,0.00166389268791951,TRUE,"Up"
"Erv3",43.6354283559763,1.44793366856528,0.788032161642906,0.00146111215363768,0.0237845428003101,TRUE,"Up"
"Gda",336.514236852236,1.86824876615926,2.15638232553429,0.00309630201669548,0.0345227143222034,TRUE,"Up"
"Gipr",36.5039964644387,1.34779828433334,0.738337457717114,0.00156058665643409,0.024405442637707,TRUE,"Up"
"Gpr68",18.3739731099632,1.51426900550925,0.49441095230999,7.95709274737362e-05,0.00668803846817711,TRUE,"Up"
"Havcr2",58.2859244477564,1.37282822211666,0.933014076027301,0.00245549567739039,0.0311023638155674,TRUE,"Up"
"Hlf",113.685512148324,1.66763714300625,1.10549664273274,0.00219340582661462,0.0295917004836713,TRUE,"Up"
"Ifit1",124.686755669275,1.12930828255365,0.59573348007382,0.00138933016294369,0.0232358611971367,TRUE,"Up"
"Il13ra2",508.993516151671,1.53088985613481,1.26902367471669,0.00294763952053144,0.0336366876515041,TRUE,"Up"
"Il1a",60.8415071996513,1.83104877613209,0.823715288988031,0.000651299945473782,0.0159083812970932,TRUE,"Up"
"Il6",377.899920651775,1.78838801806843,1.35920274664465,0.00248805626677303,0.0313385146685187,TRUE,"Up"
"Itgb2",67.9237187960283,1.15466417096636,0.519276342269804,0.000739837412938652,0.0167543146087247,TRUE,"Up"
"Kirrel3",263.200991834976,-1.00792455942056,0.342489296700653,0.000115260988242298,0.007372205257722,TRUE,"Down"
"Lrrc15",66.7432111938669,-1.01437373154395,0.347487237951171,0.000127878821738258,0.0077789985497242,TRUE,"Down"
"Mark1",28.0576067923792,1.40416655381987,1.01328429470291,0.00285696996660822,0.0332983024019262,TRUE,"Up"
"Mest",2162.16083086473,-1.20929705144066,0.406246830707744,9.81955072367006e-05,0.00684422897795265,TRUE,"Down"
"Mmp8",21.4143939609955,1.08934085573848,0.757585866258306,0.00289975035745363,0.0334160643167168,TRUE,"Up"
"N4bp2l1",98.6634092569497,1.35083081582276,0.697880137831124,0.0012491594261556,0.0220729067701819,TRUE,"Up"
"Nos2",658.339367171915,1.76514456366297,2.56983289717668,0.00334761723103566,0.0359004723830432,TRUE,"Up"
"Oit3",15.9902972365269,1.03645622497102,0.524927789270441,0.00143694800120274,0.0235221750209368,TRUE,"Up"
"P2rx3",30.8077325248734,1.95896532916355,0.880681102021055,0.000657058985079895,0.0159839655145966,TRUE,"Up"
"Prg4",972.296772073853,1.53546427458371,2.21425723259678,0.00361411465400435,0.0374907209994502,TRUE,"Up"
"Pthlh",16.9832970887107,-1.42774418928233,0.55055923876054,0.00031581479162392,0.0109339572159321,TRUE,"Down"
"Ptn",178.900552792588,-1.59448285531887,0.54060604353262,0.000100579116624089,0.0068687155061201,TRUE,"Down"
"Rmi2",39.3451718877833,-1.05713020381222,0.431478992769835,0.000434124283375613,0.0126948302882354,TRUE,"Down"
"Smoc2",1014.63454194668,-1.12935740217609,0.372397440490794,8.36367943551145e-05,0.00672482702787535,TRUE,"Down"
"Spc24",577.42842118985,-1.01802381945632,0.517942727484354,0.00122978556692424,0.0218495235142421,TRUE,"Down"
"Steap4",550.269155968974,1.18039390772464,0.33549312216127,1.66515419941863e-05,0.00389883961835306,TRUE,"Up"
"Stra6",73.4859942447569,-1.21669810777446,0.427988695466249,0.000147079683908117,0.00834852301040357,TRUE,"Down"
"Trim66",68.1379535293869,-1.11368658748043,0.414349799082002,0.000232051689875077,0.00959830207458046,TRUE,"Down"
"Unc93a",25.5700977767779,1.17212995722513,0.54140505770679,0.000927639508954836,0.0188672734354795,TRUE,"Up"
