"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"0610005C13Rik","Group_safe",0.965991407175324,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02055648137289,0.02935602866331
"0610007P14Rik","Group_safe",0.940018617415706,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.994938152302734,-0.00732124776310646
"0610009B22Rik","Group_safe",0.248096367034686,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.935222691112043,-0.0966181607858906
"0610009L18Rik","Group_safe",0.197763517611265,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.790278801127505,-0.339566385843748
"0610009O20Rik","Group_safe",0.406594196674363,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04389156648778,0.0619718607440707
"0610010F05Rik","Group_safe",0.203593471132669,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.831428658078193,-0.266335618569611
"0610010K14Rik","Group_safe",0.201141233380818,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09990241132577,0.137375526529938
"0610011F06Rik","Group_safe",0.709678538127307,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02627178216902,0.0374128428983068
"0610012G03Rik","Group_safe",0.720925026956419,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0312005301814,0.0443249105595603
"0610030E20Rik","Group_safe",0.124934214965461,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.885321822125132,-0.175726112248989
"0610037L13Rik","Group_safe",0.796238504596194,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.98319062078405,-0.0244569418017668
"0610038B21Rik","Group_safe",0.65103109630583,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.1902155343212,0.251222852642355
"0610039K10Rik","Group_safe",0.896261245776534,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.11308897043493,0.154568913502209
"0610040B10Rik","Group_safe",0.64449778587566,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.12073890527722,0.164450217540943
"0610040F04Rik","Group_safe",0.499753760364161,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",2.55369139906507,1.35258419303653
"0610040J01Rik","Group_safe",0.845264773613294,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.28522793164958,0.362024240119327
"0610043K17Rik","Group_safe",0.784165845373325,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.786187805092782,-0.347054109233492
"1010001N08Rik","Group_safe",0.65456616528486,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.43809206822101,0.524156041642256
"1110001J03Rik","Group_safe",0.503211505881593,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09078696489159,0.125369364993039
"1110002L01Rik","Group_safe",0.989959441955616,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.998225381070099,-0.00256250834064086
"1110004E09Rik","Group_safe",0.548533803533468,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.947148184130193,-0.0783379376358499
"1110004F10Rik","Group_safe",0.988334171355677,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00096372781244,0.00138969579903676
"1110006O24Rik","Group_safe",0.322675883000259,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.719307547423365,-0.475319353047071
"1110007C09Rik","Group_safe",0.798821126459488,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.973373856996872,-0.0389340678438446
"1110008F13Rik","Group_safe",0.714856995339041,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.970965806192831,-0.0425076047059777
"1110008L16Rik","Group_safe",0.634211472410954,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02645978700262,0.0376771089581565
"1110008P14Rik","Group_safe",0.930113441867313,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.994231204769088,-0.00834671071855994
"1110012L19Rik","Group_safe",0.924980070080403,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.990140346307497,-0.0142950620474126
"1110017D15Rik","Group_safe",0.256961660248113,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.548346632753049,-0.866839925683087
"1110019D14Rik","Group_safe",0.508526993341347,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09968837252949,0.137094753657837
