"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC","comparison_mode","n_groups"
"__","Group",0.999999380309114,0.999999380309114,"IBS_before","DESeq2","IBS_before vs IBS_after",1.00000003781187,5.45510010690627e-08,"all_pairwise",3
"s__","Group",0.444658290315582,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",2.01909659906057,1.01370993476638,"all_pairwise",3
"s__ramosum","Group",0.335711725895915,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",146.985447456826,7.19952951544078,"all_pairwise",3
"s__prausnitzii","Group",0.963590361296216,0.999999380309114,"IBS_after","DESeq2","IBS_before vs IBS_after",0.918109714579469,-0.123261528152652,"all_pairwise",3
"s__gnavus","Group",0.877154013871227,0.999999380309114,"IBS_before","DESeq2","IBS_before vs IBS_after",1.43861755223627,0.524683111309581,"all_pairwise",3
"s__distasonis","Group",0.911894869824752,0.999999380309114,"IBS_after","DESeq2","IBS_before vs IBS_after",0.762652198131141,-0.39090281820597,"all_pairwise",3
"s__formicilis","Group",0.823532979606437,0.999999380309114,"IBS_after","DESeq2","IBS_before vs IBS_after",0.602145994042113,-0.731814775103656,"all_pairwise",3
"s__mucilaginosa","Group",0.0693369041587037,0.270413926218945,"IBS_before","DESeq2","IBS_before vs IBS_after",331.268567195282,8.37185750788467,"all_pairwise",3
"s__lenta","Group",0.345713034122067,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",65.8726717579033,6.0416081610841,"all_pairwise",3
"s__helveticus","Group",0.417285091741343,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",90.7264957439744,6.50345203148727,"all_pairwise",3
"s__copri","Group",1.05509788705045e-05,0.000205744087974837,"IBS_before","DESeq2","IBS_before vs IBS_after",6029368.51872867,22.5235754798069,"all_pairwise",3
"s__muciniphila","Group",0.557070581409234,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",3.38721814228512,1.76010090170031,"all_pairwise",3
