"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"0610005C13Rik","Group_safe",0.840062826622945,0.999896708633522,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.871395661987013,-0.198600163692352
"0610007P14Rik","Group_safe",0.997737067750213,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064368313712,0.00092833972355939
"0610009B22Rik","Group_safe",0.728307233184841,0.999896708633522,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.921641289582628,-0.117722743838749
"0610009L18Rik","Group_safe",0.757459684662057,0.999896708633522,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.894936158694576,-0.160143325158308
"0610009O20Rik","Group_safe",0.997737067750213,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064368313712,0.00092833972355939
"0610010F05Rik","Group_safe",0.909209456470773,0.999896708633522,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.973588052265918,-0.038616631275403
"0610010K14Rik","Group_safe",0.907228313652058,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02697387663766,0.0383994839690277
"0610011F06Rik","Group_safe",0.997991186392775,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064359688104,0.000928215362378023
"0610012G03Rik","Group_safe",0.997991186392775,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064359688104,0.000928215362378023
"0610030E20Rik","Group_safe",0.821106434262471,0.999896708633522,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.94932280605111,-0.0750293527406523
"0610037L13Rik","Group_safe",0.997737067750213,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064368313712,0.00092833972355939
"0610038B21Rik","Group_safe",0.86852885189638,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.1105839178365,0.151318409789345
"0610040B10Rik","Group_safe",0.874060925317863,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.07164651899024,0.0998291134484545
"1110001J03Rik","Group_safe",0.890400145818918,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0391058882986,0.0553426770904472
"1110002L01Rik","Group_safe",0.998303121706763,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064352272833,0.00092810845143621
"1110004E09Rik","Group_safe",0.997859390924282,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064364744627,0.000928288265670546
"1110004F10Rik","Group_safe",0.997621966139957,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064370781827,0.00092837530802207
"1110006O24Rik","Group_safe",0.749254035942142,0.999896708633522,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.831684874284656,-0.265891100686505
"1110007C09Rik","Group_safe",0.997737067750213,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064368313712,0.00092833972355939
"1110008F13Rik","Group_safe",0.997737067750213,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064368313712,0.00092833972355939
"1110008L16Rik","Group_safe",0.997859390924282,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064364744627,0.000928288265670546
"1110008P14Rik","Group_safe",0.997859390924282,0.999896708633522,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00064364744627,0.000928288265670546
