"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"__","Group",0.335877199365876,0.798619280072215,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.883061890536269,-0.179413540319729
"s__","Group",1,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.06229445331355,0.087183716664262
"s__ramosum","Group",0.605132430877259,0.798619280072215,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1000,9.96578428466209
"s__prausnitzii","Group",0.246026188519756,0.798619280072215,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.501344086021505,-0.996126990852794
"s__gnavus","Group",0.374950978819314,0.798619280072215,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.877185820235422,-0.189045603944462
"s__distasonis","Group",0.197221036807219,0.798619280072215,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.365455893254262,-1.45223079657036
"s__formicilis","Group",0.153999069326564,0.798619280072215,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.336633663366337,-1.57074864150146
"s__mucilaginosa","Group",0.368039106793178,0.798619280072215,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1000,9.96578428466209
"s__lenta","Group",0.562593499683081,0.798619280072215,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1000,9.96578428466209
"s__helveticus","Group",0.66685049882537,0.798619280072215,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1000,9.96578428466209
"s__copri","Group",0.401224121664207,0.798619280072215,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1000,9.96578428466209
"s__muciniphila","Group",0.826730801560142,0.847929027241171,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",6.5984534658934,2.7221279277233
"s__ovatus","Group",0.325904890906269,0.798619280072215,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1000,9.96578428466209
